tensor_name,internal_name,source_role,role,target,model_note,layer,dtype_or_quant_type,gguf_shape,gguf_nbytes,in_features,out_features,q8_0_blocks_per_row,lanes,padded_out_features,row_padding,row_groups,scale_bytes,weight_bytes,total_packet_bytes,output_bytes,mac_count,scale_beats_32,weight_beats_32,total_beats_32,lane_utilization_estimate,stream_cycles_32_74mhz,stream_us_32_74mhz,scale_beats_128,weight_beats_128,total_beats_128,stream_cycles_128_74mhz,stream_us_128_74mhz,stream_cycles_128_50mhz,stream_us_128_50mhz,speedup_128_vs_32,mac_cycles_16lane_estimate,mac_us_16lane_74mhz_estimate,pure_stream_compute_us_32_74mhz,pure_stream_compute_us_128_74mhz,single_fixed_overhead_us,single_total_us_32_74mhz,single_total_us_128_74mhz,batch8_fixed_overhead_us,batch8_total_us_32_74mhz,batch8_total_us_128_74mhz,batch16_fixed_overhead_us,batch16_total_us_32_74mhz,batch16_total_us_128_74mhz,batch64_fixed_overhead_us,batch64_total_us_32_74mhz,batch64_total_us_128_74mhz
blk.1.ffn_gate.weight,layer_1_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,1,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.1.ffn_up.weight,layer_1_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,1,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.1.ffn_down.weight,layer_1_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,1,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.2.attn_q.weight,layer_2_q_proj,attention_q_projection,attention_q_projection,q_proj,,2,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.2.attn_k.weight,layer_2_k_proj,attention_k_projection,attention_k_projection,k_proj,,2,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.2.attn_v.weight,layer_2_v_proj,attention_v_projection,attention_v_projection,v_proj,,2,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.2.attn_output.weight,layer_2_o_proj,attention_output_projection,attention_output_projection,o_proj,,2,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.2.ffn_gate.weight,layer_2_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,2,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.2.ffn_up.weight,layer_2_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,2,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.2.ffn_down.weight,layer_2_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,2,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.3.attn_q.weight,layer_3_q_proj,attention_q_projection,attention_q_projection,q_proj,,3,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.3.attn_k.weight,layer_3_k_proj,attention_k_projection,attention_k_projection,k_proj,,3,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.3.attn_v.weight,layer_3_v_proj,attention_v_projection,attention_v_projection,v_proj,,3,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.3.attn_output.weight,layer_3_o_proj,attention_output_projection,attention_output_projection,o_proj,,3,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.3.ffn_gate.weight,layer_3_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,3,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.3.ffn_up.weight,layer_3_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,3,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.3.ffn_down.weight,layer_3_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,3,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.4.attn_q.weight,layer_4_q_proj,attention_q_projection,attention_q_projection,q_proj,,4,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.4.attn_k.weight,layer_4_k_proj,attention_k_projection,attention_k_projection,k_proj,,4,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.4.attn_v.weight,layer_4_v_proj,attention_v_projection,attention_v_projection,v_proj,,4,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.4.attn_output.weight,layer_4_o_proj,attention_output_projection,attention_output_projection,o_proj,,4,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.4.ffn_gate.weight,layer_4_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,4,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.4.ffn_up.weight,layer_4_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,4,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.4.ffn_down.weight,layer_4_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,4,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.5.attn_q.weight,layer_5_q_proj,attention_q_projection,attention_q_projection,q_proj,,5,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.5.attn_k.weight,layer_5_k_proj,attention_k_projection,attention_k_projection,k_proj,,5,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.5.attn_v.weight,layer_5_v_proj,attention_v_projection,attention_v_projection,v_proj,,5,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.5.attn_output.weight,layer_5_o_proj,attention_output_projection,attention_output_projection,o_proj,,5,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.5.ffn_gate.weight,layer_5_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,5,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.5.ffn_up.weight,layer_5_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,5,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.5.ffn_down.weight,layer_5_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,5,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.6.attn_q.weight,layer_6_q_proj,attention_q_projection,attention_q_projection,q_proj,,6,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.6.attn_k.weight,layer_6_k_proj,attention_k_projection,attention_k_projection,k_proj,,6,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.6.attn_v.weight,layer_6_v_proj,attention_v_projection,attention_v_projection,v_proj,,6,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.6.attn_output.weight,layer_6_o_proj,attention_output_projection,attention_output_projection,o_proj,,6,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.6.ffn_gate.weight,layer_6_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,6,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.6.ffn_up.weight,layer_6_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,6,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.6.ffn_down.weight,layer_6_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,6,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.7.attn_q.weight,layer_7_q_proj,attention_q_projection,attention_q_projection,q_proj,,7,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.7.attn_k.weight,layer_7_k_proj,attention_k_projection,attention_k_projection,k_proj,,7,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.7.attn_v.weight,layer_7_v_proj,attention_v_projection,attention_v_projection,v_proj,,7,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.7.attn_output.weight,layer_7_o_proj,attention_output_projection,attention_output_projection,o_proj,,7,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.7.ffn_gate.weight,layer_7_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,7,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.7.ffn_up.weight,layer_7_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,7,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.7.ffn_down.weight,layer_7_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,7,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
